n;p;BFS_List;BFS_Matrix;DFS_List;DFS_Matrix
-----;--------;-----------;-----------------;---------------;---------------
5;0.0100;7.930;10.790;3.240;3.700
5;0.1000;16.080;6.550;2.780;3.700
5;0.2000;11.500;12.380;6.870;7.310
5;0.5000;4.480;4.470;1.790;1.800
5;0.7000;12.370;12.010;6.580;6.780
10;0.0100;8.180;8.060;3.150;3.370
10;0.1000;25.680;25.890;14.810;16.190
10;0.2000;5.940;7.500;3.060;3.190
10;0.5000;29.780;28.790;20.800;22.250
10;0.7000;54.540;56.500;34.450;34.220
50;0.0100;4.420;4.830;1.820;2.270
50;0.1000;188.900;149.530;90.180;113.420
50;0.2000;235.990;303.750;163.150;183.520
50;0.5000;481.010;396.070;434.840;494.170
50;0.7000;575.430;573.130;575.940;713.770
100;0.0100;24.560;38.350;14.860;30.650
100;0.1000;492.170;562.060;354.920;623.860
100;0.2000;907.730;1003.820;753.660;731.230
100;0.5000;1652.710;1707.580;1639.750;1519.320
100;0.7000;2729.160;2318.610;2373.510;2277.150
